ID Next,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
x,,irixgenesis3,https://www.foto24.com/kit-irix-150mm-f-2-8-macro-1-1-dragonfly-rail-para-macro-genesis-gmr-150.html,https://www.photo24.fr/kit-irix-150mm-f-2-8-macro-1-1-dragonfly-rail-macro-genesis-gmr-150.html,699.99,Irix
x,,irixgenesis2,https://www.foto24.com/kit-irix-15mm-f-2-4-blackstone-cabezal-panoramico-genesis-ph-01.html,https://www.photo24.fr/kit-irix-15mm-f-2-4-blackstone-tete-panoramique-genesis-ph-01.html,899.99,Irix
x,x,0714709560,https://www.foto24.com/portafiltros-irix-edge-ifh-100-adaptador-para-irix-15mm-f-2-4.html,https://www.photo24.fr/porte-filtres-irix-pour-irix-15mm-f-2-4-edge-ifh-100-adaptateur.html,69.99,Irix
FT_004213,5901698712242,M00392,https://www.foto24.com/tripode-para-flash-quadralite-200.html,https://www.photo24.fr/trepied-pour-flash-quadralite-200.html,34.99,Quadralite
FT_004499,5901698711177,0715009960,https://www.foto24.com/bateria-quadralite-800.html,https://www.photo24.fr/batterie-quadralite-800.html,719.99,Quadralite
FT_005670,5901698718817,M00322,https://www.foto24.com/adaptador-ac-quadralite-9v-2-5a-led-thea.html,https://www.photo24.fr/adaptateur-ac-quadralite-9v-2-5a-led-thea.html,14.99,Quadralite
FT_004724,5901698716608,0714764443,https://www.foto24.com/flash-quadralite-a1-inalambrico-para-smartphone.html,https://www.photo24.fr/flash-quadralite-a1-professionnel-pour-smartphone.html,84.99,Quadralite
FT_004682,5901698717421,0718815935,https://www.foto24.com/soporte-para-flash-de-estudio-quadralite-air-275.html,https://www.photo24.fr/support-pour-flash-studio-quadralite-air-275.html,39.99,Quadralite
FT_004119,5901698712235,0713104030,https://www.foto24.com/tripode-para-flash-air-260-quadralite.html,https://www.photo24.fr/pied-d-eclairage-pour-flash-studio-quadralite-air-260.html,39.99,Quadralite
FT_004977,5901698717803,M00449,https://www.foto24.com/adaptador-ac-quadralite-para-atlas-400-pro-ttl.html,https://www.photo24.fr/adaptateur-ac-quadralite-pour-atlas-400-pro-ttl.html,125.99,Quadralite
FT_004962,5901698717728,M00452,https://www.foto24.com/quadralite-atlas-400-pro-powerpack.html,https://www.photo24.fr/quadralite-atlas-400-pro-powerpack.html,163.99,Quadralite
FT_004959,5901698717704,M00453,https://www.foto24.com/quadralite-atlas-400-pro-ttl-flash-de-estudio.html,https://www.photo24.fr/quadralite-atlas-400-pro-ttl-flash-de-studio.html,699.99,Quadralite
FT_004161,5901698711726,0713104031,https://www.foto24.com/flash-de-estudio-quadralite-atlas-600-inalambrico.html,https://www.photo24.fr/flash-studio-quadralite-atlas-600-sans-fil.html,644.99,Quadralite
FT_004853,5901698717339,0715788245,https://www.foto24.com/flash-de-estudio-quadralite-atlas-600-pro-ttl.html,https://www.photo24.fr/flash-studio-quadralite-atlas-600-pro-ttl.html,899.99,Quadralite
FT_004160,5901698711733,0713104032,https://www.foto24.com/flash-de-estudio-quadralite-atlas-600-ttl-inalambrico.html,https://www.photo24.fr/flash-studio-quadralite-atlas-600-ttl-sans-fil.html,869.99,Quadralite
FT_004722,5901698716585,C00008,https://www.foto24.com/quadralite-atlas-led.html,https://www.photo24.fr/quadralite-atlas-led.html,399.99,Quadralite
FT_004873,5901698717452,M00447,https://www.foto24.com/adaptador-ac-quadralite-para-atlas-600-pro-ttl.html,https://www.photo24.fr/adaptateur-ac-quadralite-pour-atlas-600-pro-ttl.html,134.99,Quadralite
FT_004363,5901698712303,M00654,https://www.foto24.com/quadralite-viseras-nido-de-abeja-y-filtros-de-colores.html,https://www.photo24.fr/quadralite-visieres-nid-d-abeille-et-filtres-de-couleur.html,24.99,Quadralite
FT_004115,5901698711696,M00317,https://www.foto24.com/quadralite-beauty-dish-plateado-42cm.html,https://www.photo24.fr/beauty-dish-quadralite-argente-42cm.html,39.99,Quadralite
FT_004116,5901698711702,M00318,https://www.foto24.com/beauty-dish-plateado-quadralite-55cm.html,https://www.photo24.fr/beauty-dish-argente-quadralite-55cm.html,63.99,Quadralite
FT_004117,5901698711719,M00316,https://www.foto24.com/beauty-dish-plateado-quadralite-70cm.html,https://www.photo24.fr/beauty-dish-argente-quadralite-70cm.html,87.99,Quadralite
FT_004112,5901698711665,0713104043,https://www.foto24.com/beauty-dish-blanco-42cm-quadralite.html,https://www.photo24.fr/beauty-dish-blanc-quadralite-42cm.html,39.99,Quadralite
FT_004113,5901698711672,0713104883,https://www.foto24.com/beauty-dish-blanco-55cm-quadralite.html,https://www.photo24.fr/beauty-dish-blanc-quadralite-55cm.html,69.99,Quadralite
FT_004114,5901698711689,0713105097,https://www.foto24.com/beauty-dish-blanco-quadralite-70cm.html,https://www.photo24.fr/beauty-dish-blanc-quadralite-70cm.html,79.99,Quadralite
FT_004327,5901698712204,M01158,https://www.foto24.com/quadralite-boom-multi-tripode-de-estudio.html,https://www.photo24.fr/quadralite-boom-multi-trepied-de-studio.html,99.99,Quadralite
FT_004158,5901698711467,0713105098,https://www.foto24.com/reflector-plegable-5-en-1-quadralite-120x180cm.html,https://www.photo24.fr/quadralite-collapsible-reflecteur-pliant-5-en-1-120x180cm.html,49.99,Quadralite
FT_004788,5901698716912,M00305,https://www.foto24.com/reflector-plegable-5-en-1-quadralite-90x120cm.html,https://www.photo24.fr/reflecteur-pliable-5-en-1-quadralite-90x120cm.html,39.99,Quadralite
FT_004157,5901698711450,0713105099,https://www.foto24.com/reflector-plegable-5-en-1-quadralite-95x125cm.html,https://www.photo24.fr/quadralite-reflecteur-pliant-5-en-1-95x125cm.html,39.99,Quadralite
FT_004154,5901698716882,M00520,https://www.foto24.com/quadralite-reflector-plata-blanco-60cm.html,https://www.photo24.fr/quadralite-reflecteur-argent-blanc-60cm.html,8.99,Quadralite
FT_004785,5901698718893,0713105100,https://www.foto24.com/reflector-plegable-blanco-y-plata-60cm-quadralite.html,https://www.photo24.fr/quadralite-reflecteur-pliant-blanc-et-argente-60cm.html,24.99,Quadralite
FT_004792,5901698716950,M00519,https://www.foto24.com/quadralite-reflector-plata-blanco-60cm-con-asa.html,https://www.photo24.fr/quadralite-reflecteur-argent-blanc-60cm-a-anses.html,10.99,Quadralite
FT_005702,5901698719036,M00418,https://www.foto24.com/quadralite-deep-space-105-paraguas-parabolico-transparente.html,https://www.photo24.fr/quadralite-deep-space-105-parapluie-parabolique-transparent.html,37.99,Quadralite
FT_005699,5901698718992,M00402,https://www.foto24.com/quadralite-deep-space-105-paraguas-parabolico-blanco.html,https://www.photo24.fr/quadralite-deep-space-105-parapluie-parabolique-blanc.html,55.99,Quadralite
FT_005696,5901698718961,M00423,https://www.foto24.com/quadralite-deep-space-130-paraguas-parabolico-plateado.html,https://www.photo24.fr/quadralite-deep-space-130-parapluie-parabolique-argente.html,54.99,Quadralite
FT_005662,5901698718763,M00406,https://www.foto24.com/quadralite-deep-space-130-paraguas-parabolico-blanco.html,https://www.photo24.fr/quadralite-deep-space-130-parapluie-parabolique-blanc.html,49.99,Quadralite
FT_005704,5901698719050,M00411,https://www.foto24.com/quadralite-deep-space-130-difusor-para-paraguas.html,https://www.photo24.fr/quadralite-deep-space-130-diffuseur-pour-parapluie.html,19.99,Quadralite
FT_005695,5901698718954,M00445,https://www.foto24.com/quadralite-deep-space-165-paraguas-parabolico-plateado.html,https://www.photo24.fr/quadralite-deep-space-165-parapluie-parabolique-argente.html,65.99,Quadralite
FT_004442,5901698712952,0715009961,https://www.foto24.com/bateria-dp-6-quadralite-para-los-flashes-dp.html,https://www.photo24.fr/batterie-dp-6-quadralite-pour-les-flashs-dp.html,96.99,Quadralite
FT_004441,5901698712969,0715009963,https://www.foto24.com/flash-de-estudio-quadralite-dp-600.html,https://www.photo24.fr/flash-studio-quadralite-dp-600.html,215.99,Quadralite
FT_004206,5901698713379,0713105105,https://www.foto24.com/tubo-de-flash-quadralite-para-flashes-de-estudio.html,https://www.photo24.fr/tube-de-flash-quadralite-pour-flashs-studio.html,17.99,Quadralite
FT_004439,5901698714048,M00454,https://www.foto24.com/softbox-octa-quadralite-flex-120cm-plegado-rapido.html,https://www.photo24.fr/softbox-octa-quadralite-flex-120cm-pliage-rapide.html,76.99,Quadralite
FT_004440,5901698714062,M00455,https://www.foto24.com/softbox-quadralite-flex-60x60cm-plegado-rapido.html,https://www.photo24.fr/softbox-quadralite-flex-60x60cm-pliage-rapide.html,54.99,Quadralite
FT_004438,5901698714079,M00456,https://www.foto24.com/softbox-quadralite-flex-60x60cm-plegado-rapido.html,https://www.photo24.fr/softbox-quadralite-flex-60x90cm-pliage-rapide.html,58.99,Quadralite
