ID Next,Nombre,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
FT_004254,Genesis Base PLL-5DS/R L-Type Plate,5901698711948,0713623284,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-5ds-r-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-5ds-r-type-l.html,39.99,Genesis
FT_004259,Genesis Base PLL-70D L-Type Plate,5901698711894,0713623285,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-70d-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-70d-type-l.html,39.99,Genesis
FT_004252,Genesis Base PLL-760D L-Type Plate,5901698711962,0713623286,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-760d-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-760d-type-l.html,39.99,Genesis
FT_004251,Genesis Base PLL-7D L-Type Plate,5901698711979,0713623287,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-7d-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-7d-type-l.html,39.99,Genesis
FT_004258,Genesis Base PLL-7DMKII L-Type Plate,5901698711900,0713623288,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-7dmkii-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-7dmkii-type-l.html,39.99,Genesis
FT_004087,Genesis Base PLL-A6000 L-Type Plate,5901698710859,0713623289,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-a6000-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-a6000-type-l.html,24.99,Genesis
FT_004241,Genesis Base PLL-A6300 L-Type Plate,5901698714178,0713623290,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-a6300-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-a6300-type-l.html,38.99,Genesis
FT_004084,Genesis Base PLL-A7 L-Type Plate,5901698710828,0713623291,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-a7-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-a7-type-l.html,23.99,Genesis
FT_004277,Genesis Base PLL-A7II L-Type Plate,5901698713881,0713623292,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-a7ii-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-a7ii-de-type-l.html,23.99,Genesis
FT_004257,Genesis Base PLL-D7100 L-Type Plate,5901698711917,0713623293,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-d7100-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-d7100-type-l.html,39.99,Genesis
FT_004253,Genesis Base PLL-D750 L-Type Plate,5901698711955,0713623294,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-d750-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-d750-type-l.html,39.99,Genesis
FT_004255,Genesis Base PLL-D810 L-Type Plate,5901698711931,0713623295,https://www.foto24.com/plato-de-liberacion-genesis-pll-d810-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-d810-type-l.html,39.99,Genesis
FT_004086,Genesis Base PLL-EM1 L-Type Plate,5901698710842,0713623296,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-em1-tipo-l.html,https://www.photo24.fr/plateau-de-liberation-rapide-genesis-pll-em1-tipo-l.html,31.99,Genesis
FT_004085,Genesis Base PLL-RX1 L-Type Plate,5901698710835,0713623297,https://www.foto24.com/plato-de-liberacion-genesis-pll-rx1-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-rx1-type-l.html,38.99,Genesis
FT_004088,Genesis Base PLL-XT1 L-Type Plate,5901698710866,0713623298,https://www.foto24.com/plato-de-liberacion-rapida-genesis-pll-xt1-tipo-l.html,https://www.photo24.fr/plateau-rapide-genesis-pll-xt1-type-l.html,24.99,Genesis
FT_004243,Genesis Base RF-50 Rubber Suction Cup Feet,5901698714185,0713623299,https://www.foto24.com/puntas-de-acero-y-goma-genesis-base-rf-50.html,https://www.photo24.fr/pointes-en-acier-et-caoutchouc-genesis-base-rf-50.html,9.99,Genesis
